iter	Passed	Remaining
0	0	33
1	0	29
2	0	27
3	1	25
4	1	25
5	1	24
6	1	24
7	2	23
8	2	23
9	2	23
10	2	23
11	3	22
12	3	22
13	3	22
14	3	22
15	4	21
16	4	21
17	4	21
18	4	20
19	5	20
20	5	20
21	5	19
22	5	19
23	6	19
24	6	19
25	6	19
26	7	18
27	7	18
28	7	18
29	7	18
30	8	17
31	8	17
32	8	17
33	8	17
34	9	17
35	9	16
36	9	16
37	10	16
38	10	16
39	10	15
40	10	15
41	11	15
42	11	15
43	11	14
44	11	14
45	12	14
46	12	14
47	12	13
48	13	13
49	13	13
50	13	13
51	13	12
52	14	12
53	14	12
54	14	11
55	14	11
56	14	11
57	15	10
58	15	10
59	15	10
60	15	10
61	16	9
62	16	9
63	16	9
64	16	9
65	17	8
66	17	8
67	17	8
68	18	8
69	18	7
70	18	7
71	18	7
72	19	7
73	19	6
74	19	6
75	19	6
76	20	5
77	20	5
78	20	5
79	20	5
80	20	4
81	21	4
82	21	4
83	21	4
84	21	3
85	22	3
86	22	3
87	22	3
88	22	2
89	23	2
90	23	2
91	23	2
92	24	1
93	24	1
94	24	1
95	24	1
96	25	0
97	25	0
98	25	0
99	25	0
