iter	Passed	Remaining
0	47	47886
1	48	24426
2	50	16616
3	50	12652
4	51	10275
5	52	8683
6	68	9691
7	68	8553
8	69	7667
9	70	6954
10	70	6358
11	71	5859
12	71	5434
13	72	5072
14	72	4754
15	72	4475
16	73	4240
17	73	4035
18	74	3841
19	74	3665
20	75	3504
21	75	3358
22	75	3224
23	76	3102
24	76	2987
25	76	2882
26	77	2784
27	77	2692
28	77	2606
29	78	2527
30	78	2453
31	78	2383
32	79	2318
33	79	2257
34	79	2198
35	80	2143
36	80	2092
37	80	2045
38	81	2001
39	81	1959
40	81	1917
41	82	1879
42	82	1843
43	83	1808
44	83	1774
45	83	1741
46	84	1709
47	84	1677
48	84	1646
49	85	1617
50	85	1589
51	85	1563
52	86	1538
53	86	1515
54	86	1492
55	87	1469
56	87	1447
57	87	1425
58	88	1404
59	88	1384
60	88	1364
61	88	1344
62	89	1325
63	89	1307
64	89	1289
65	89	1271
66	90	1254
67	90	1238
68	90	1222
69	90	1207
70	91	1192
71	91	1177
72	91	1163
73	91	1149
74	92	1136
75	92	1122
76	92	1110
77	92	1098
78	93	1085
79	93	1073
80	93	1062
81	93	1051
82	94	1039
83	94	1029
84	94	1019
85	95	1010
86	95	1001
87	95	991
88	95	982
89	96	972
90	96	963
91	96	954
92	96	945
93	97	937
94	97	929
95	97	922
96	98	915
97	98	907
98	98	900
99	99	892
100	99	885
101	99	877
102	99	870
103	100	863
104	100	856
105	100	849
106	100	842
107	101	835
108	101	829
109	101	822
110	101	816
111	102	810
112	102	804
113	102	798
114	103	792
115	103	787
116	103	781
117	103	775
118	104	770
119	104	765
120	104	759
121	104	754
122	105	749
123	105	744
124	105	739
125	105	735
126	106	730
127	106	726
128	106	721
129	107	716
130	107	712
131	107	707
132	107	702
133	108	698
134	108	694
135	108	690
136	108	686
137	109	682
138	109	678
139	109	674
140	110	670
141	110	666
142	110	662
143	110	658
144	111	654
145	111	650
146	111	647
147	111	643
148	112	640
149	112	637
150	112	635
151	113	632
152	113	629
153	114	626
154	114	623
155	114	620
156	114	617
157	115	613
158	115	610
159	115	607
160	115	603
161	116	600
162	116	597
163	116	594
164	116	591
165	117	588
166	117	585
167	117	582
168	117	579
169	118	576
170	118	573
171	118	570
172	118	568
173	119	565
174	119	562
175	119	559
176	119	557
177	120	554
178	120	551
179	120	549
180	120	546
181	121	544
182	121	541
183	121	539
184	121	536
185	122	534
186	122	532
187	122	529
188	122	527
189	123	525
190	123	523
191	123	521
192	124	519
193	124	517
194	124	515
195	125	514
196	125	512
197	126	510
198	126	509
199	126	507
200	127	505
201	127	503
202	127	501
203	128	500
204	128	498
205	128	497
206	129	495
207	129	494
208	130	492
209	130	491
210	130	489
211	131	487
